publishedAt,authorDisplayName,textDisplay,likeCount
2025-03-15T04:29:42Z,@Mercu-e9w,Wah megatrus itu kagak ada pak.,0
2025-02-06T01:12:05Z,@bagassoekarno,BMKG hendaknya memberikan DATA- DATA TEHNIS  akan terjadinya Gempa Bumi Megatrush TSUNAMI,0
2025-02-05T01:39:21Z,@RiskyDrake,Rasakan itu,0
2025-01-14T10:44:06Z,@Idabaguswira-x9y,"Harus terus waspada,bukan untuk menakuti masyarakat.",0
2025-01-08T06:48:01Z,@NadiaAsyiffaAzahraa2345,Komen terakhir,0
2025-01-06T12:51:53Z,@EuisRuchitawati,Iyah ditunggu,1
2024-12-27T16:04:08Z,@EnditTantio,Jika benar setiap Daerah kabupaten dan kota siapkan sirine agar masyarakat siap waspada semoga aja tidak terjadi😊,0
2024-12-24T02:23:55Z,@AdiningratSutila,"Makanya jangan selalu nyinyirin IKN , yg selalu nyinyirin jangan tinggalkan pulau jawa , hidup matimu terpaku disitu saja , IKN utk orang2 yang waras cara berfikirnya saja",1
2024-12-23T13:41:04Z,@MarleniSiti,Admin tolong sampai kan di sumbar... Tidak ada serine2 antisipasi gempa,0
2024-12-22T15:43:06Z,@BangJago-p8d,Aku senang sekali lihat mega thrush...kalau bisa kebih besar dari megathrus....udahmuak lihat sandiwara negara ini...seperti negara mainan anak anak..main kawinkawinan....mau muntah lihatnya....,0
2024-12-22T15:39:55Z,@BangJago-p8d,Bmkg sakit perut....dari dulu itu2 saja tak asa satupun yg benar....,0
2024-12-22T01:07:47Z,@BebeCell-qt6zp,"Asalamualaikum Wr ,,Mohon Maaf ,Benar ta Bu itu  banyak orang2  yang gak percaya ,klau saya  ya percaya dan tidak  Subeqkhanalloh terimakasih",0
2024-12-21T15:48:17Z,@filaili_yunianasari7420,"Kalo terjadi biar koit semua, terserah yg ngomong , karena merasa paling tahu segalanya, emang yg ngomong Tuhan",0
2024-12-20T15:42:56Z,@darmono9841,"Buat apa di tungu lupakan sajalah ,tatap yg indah2 dong",0
2024-12-19T01:40:29Z,@BuFat-g2e,Gempa besar bisa dipredeksi tapi gempa kecil kok tidak mrediksi sebelumnya. Semuanya tinggal yg kuasa yng nentukan.,0
2024-12-18T11:57:32Z,@erna1071,Dimana sja,0
2024-12-18T11:57:23Z,@erna1071,Dimana sja,0
2024-12-18T11:56:41Z,@erna1071,"Yaa allah ,,Semoga Rakyad indinesia, Dimba Ssaja berda, ,,,dlm lindungn allah ,,,,amiin",0
2024-12-18T09:01:50Z,@ImamSyafii-sy5yu,"Kalau aku tambah senang.gempa sebap aku tak punya harta , yg takut adalah orang.yg.kaya.banyak.harta kiamat pun aku tak takut aku mati meninggalkan sepeda pancal kamu.matipun.meninggalkan.rumah tingkat apartemen mobil ayo.dang.kiamaaaaaaat",0
2024-12-17T15:59:58Z,@aulianurinsani5135,kalau semua i i terjadi .akan menimbulkan kehancuran dan banyaknya korban jiwa. dan kita semua harus berwsspada . disiang hari atau keaadan diwsktu mlm. .mengantisipasi bola ini terjadi.,0
2024-12-15T01:31:42Z,@CustFourg-l9w,Mantap,0
2024-12-14T18:33:37Z,@khalifahas717,Banyak di huni sama orang mati ini bos negeri ini..udah ketuk palu hakim-hakim nasrani sedunia nya dari pbb sampek indonesia + yg lain nya pun juga oke eropa gak eropa asean gak asean saudi gak saudi lah hahahahaha.....gak bisa masuk rupa nya sarah azari ke rumah awak..mati rame-rame semua ya kan..mau keluar ini bos kepemimpinan kekalifahan nya maka nya seluruh dunia sudah menjaga dia termasuk nasrani indonesia 1 kapal menjaga nya..kalok gak semua yg di luar tu udah di hujani nukler ini zona nasrani indonesia-amerika.,0
2024-12-07T14:11:58Z,@suhartopwr4490,Memang  betul termasuk reporternya juga tinggal menunggu  saja,0
2024-12-02T12:37:59Z,@raziqghaitsa8307,Tunggu waktuu.  Saja.,0
