words,kata baku
yg,yang
gak,tidak
alloh,allah
ga,tidak
tdk,tidak
dr,dari
dgn,dengan
klo,kalau
sdh,sudah
tak,tidak
nunggu,menunggu
utk,untuk
gk,tidak
jg,juga
dlm,dalam
aamiin,amin
jgn,jangan
org,orang
tp,tapi
krn,karena
kpd,kepada
karna,karena
sunami,tsunami
dri,dari
lu,kamu
smua,semua
udh,sudah
info,informasi
dn,dan
megatrust,megathrust
ku,saya
mu,kamu
bs,bisa
dg,dengan
negri,negeri
blm,belum
lg,lagi
g,tidak
pd,pada
jd,jadi
smoga,semoga
indo,indonesia
yaa,iya
km,kamu
tu,itu
hrs,harus
nggak,tidak
sy,saya
y,iya
mara,marah
klu,kalau
orangorang,orang orang
korup,korupsi
kau,kamu
trus,terus
hoax,bohong
ad,ada
skrg,sekarang
kl,kalau
thn,tahun
tpi,tapi
kt,kita
trjadi,terjadi
konoha,indonesia
yng,yang
bnyk,banyak
smg,semoga
gmn,gimana
krna,karena
sbg,sebagai
byk,banyak
dll,dan lain lain
lgi,lagi
bnyak,banyak
sj,saja
th,tahun
sll,salalu
sm,sama
sllu,selalu
lbh,lebih
klw,kalau
megatrush,megathrust
klau,kalau
msh,masih
kpn,kapan
ngga,tidak
hnya,hanya
kek,seperti
gw,saya
spt,seperti
trjdi,terjadi
menakut,menakutkan
pengen,pengin
slalu,selalu
ngak,tidak
pake,pakai
megatrus,megathrust
cepet,cepat
gusti,tuhan
kn,kan
sprti,seperti
knp,kenapa
kluarga,keluarga
uda,sudah
kyk,seperti
sya,saya
megatras,megathrust
jngn,jangan
jngan,jangan
sperti,seperti
hp,ponsel pintar
tgl,tanggal
lo,kamu
ny,nya
tsb,tersebut
is,adalah
god,tuhan
gua,saya
akn,akan
cm,Cuma
hatihati,hati hati
nggk,tidak
ayatayat,ayat ayat
aj,saja
mmg,memang
dlu,dulu
jesus,yesus
orng,orang
wong,orang
jdi,jadi
ttp,tetap
bgt,banget
jga,juga
warning,peringatan
jkt,jakarta
in,ini
smga,semoga
nga,tidak
lord,tuan
bnr,benar
wkt,waktu
bgmn,bagaimana
mkn,makan
koropsi,korupsi
enggak,tidak
ttg,tentang
engga,tidak
trs,terus
terjdi,terjadi
dpt,dapat
cmn,cuman
tetep,tetap
bsa,bisa
blum,belum
thrushkalau,kalau
messenger,pesan
from,dari
son,anak
men,manusia
savior,penyelamat
promise,berjanji
words,dunia
sekalikali,sekali kali
bla,bila
smpe,sampai
untk,untuk
hrsnya,harusnya
issue,isu
kpda,kepada
no,tidak
pda,pada
ama,sama
amiiin,amin
ngk,tidak
sgala,segala
elu,kamu
nasrani,kristen
sma,sama
dsni,disini
bkn,bukan
dsb,dan sebagainya
masarakat,masyarakat
jauhkn,jauhkan
donk,dong
dwi,dua
tida,tidak
mnusia,manusia
skrng,sekarang
hny,hanya
amiin,amin
dibahas,di bahas
ato,atau
didalam,di dalam
gmpa,gempa
dholim,zolim
wktu,waktu
kta,kita
gue,saya
gpp,tidak apa apa
hy,hanya
dimuka,di muka
allaah,allah
rmh,rumah
smpai,sampai
ditolak,di tolak
dijalan,di jalan
diperkirakan,di perkirakan
jng,jangan
mnjadi,menjadi
yo,iya
mna,mana
sd,sampai dengan
mk,momen ketika
emg,emang
emng,emang
tras,trust
spy,supaya
menakutnakuti,menakut nakuti
aamiinya,amin nya
allahsemoga,allah semoga
masingmasing,masing masing
bgini,begini
mrk,mereka
sblm,sebelum
gtu,gitu
aminnn,amin
tingal,tinggal
dtg,datang
ap,apa
stelah,setelah
baikbaik,baik baik
eling,ingat
opo,apa
sgt,segitu
dkt,dekat
sgla,segala
me,saya
berdo,berdoa
dimaksud,di maksud
dimanakah,di manakah
yaaa,iya
blg,bilang
taon,tahun
pra,sebelum
kya,saperti
kmna,kemana
stunami,tsunami
tinggl,tinggal
aamiinhanya,amin hanya
kiyamat,kiamat
knpa,kenapa
isyu,isu
bukn,bukan
bgitu,begitu
bgi,bagi
ndak,tidak
allahu,allah
megatron,megathrust
dh,sudah
amansemoga,aman semoga
mlindungi,melindungi
terjadikita,terjadi
atw,atau
biyar,biar
bkin,bikin
aminsemoga,amin semoga
gaada,tidak ada
sdah,sudah
sing,yang
wae,saja
ora,tidak
gada,tidak ada
lillahi,ilahi
gercep,gerak cepat
guys,teman
iniya,ini ya
megathrus,megathrust
tandatanda,tanda tanda
jgan,jangan
belom,belum
allahlindungilah,allah lindungilah
nerakasiksa,neraka siksa
waktusemua,waktu semua
iknbr,ikn
sgr,segera
tehnologi,teknologi
swtya,swt ya
mrediksi,prediksi
mlm,malam
prnh,pernah
allahbmkg,allah bmkg
spya,supaya
nyasemoga,nya semoga
wlpn,walaupun
smp,sampai
koyok,seperti
hoax,bohong
nhi,nih
aminya,amin
kmu,kamu
ogah,malas
laen,lain
sgl,segala
gempaini,gempa ini
terjadijangan,terjadi jangan
aaamiiiinnn,amin
hoaxs,bohong
hoak,bohong
inisemoga,ini semoga
apaapa,apa apa
ancur,hancur
krena,karena
dikorup,di korupsi
dak,tidak
tmpt,tempat
percya,percaya
slh,salah
pjawa,pulau jawa
hsrus,harus
hrus,harus
dngn,dengan
aamin,amin
jagan,jangan
dngan,dengan
mka,maka
prcya,percaya
pdhl,padahal
bangunanbangunan,bangun bangun
dng,dengan
mreka,mereka
dimna,dimana
msih,masih
allahini,allah ini
sja,saja
gmna,gimana
kudu,harus
ono,ada
gempakalau,gempa kalau
sluruh,sluruh
slamat,slamat
skalian,sekalian
dosadosa,dosa dosa
tauyg,tau yang
pringatan,peringatan
bncana,bencana
allahjangan,allah jangan
tdak,tidak
selam,salama
mn,mana
swtgempa,swt gempa
bangsarakyat,bangsa rakyat
nda,tidak
gedunggedung,gedung gedung
kawatir,khawatir
aminaamiin,amin
ajasemua,aja semua
ajasaya,aja saya
tibatiba,tiba tiba
gempatsunami,gempa tsunami
kenceng,kencang
cpt,cepat
mcm,macam
busemoga,semoga
dmn,dimana
surgakebahagiaan,surga kebahagiaan
benarbenar,benar benar
sajaya,saja
ayatayatnya,ayat ayatnya
napa,kenapa
penghisabanpergantian,penghisaban pergantian
ind,indonesia
tggu,tunggu
kit,kita
tmbh,tambah
ohhh,oh
terjadibiar,terjadi biar
kmn,kemana
mlah,malah
sprt,seperti
gajih,gaji
waktusemoga,waktu semoga
lukaluka,luka luka
subhana,subhanallah
ente,kamu
yutub,youtube
tkt,takut
sajah,saja
ksih,kasih
mbangun,membangun
kagak,tidak
urusane,urusannya
sajapasrah,saja pasrah
ikndi,ikn di
dl,dulu
trjd,terjadi
mmpu,mampu
hrsny,harusnya
gncngny,guncangannya
stlh,setelah
aesemoga,semoga
